Thread 	ThreadMemoryUsage	Warp	WarpMemoryUsage	Sub_Warp 	Sub_WarpMemoryUsage	Sub_Warp_Level 	Sub_Warp_LevelMemoryUsage
127.087	 0.374783	129.895	 0.374390	138.757	 0.374786	102.576	 0.499786
127.051	 0.749828	130.743	 0.749878	137.979	 0.749847	102.545	 0.874847
127.504	 1.499989	130.966	 1.499146	138.144	 1.499603	102.527	 1.624603
126.962	 2.999943	130.452	 2.999390	138.083	 2.999847	102.805	 3.124847
127.128	 5.999989	130.359	 5.998413	138.227	 5.999664	102.602	 6.124664
126.992	 11.999966	130.379	 11.999390	138.347	 11.999786	102.64	 12.124786
127.106	 23.999897	130.378	 23.998657	138.221	 23.999969	102.649	 24.124969
127.137	 47.999966	130.335	 47.999146	138.227	 47.999664	102.576	 48.124664
127.118	 95.999828	130.214	 95.999878	138.636	 95.999786	102.626	 96.124786
126.939	 191.999966	130.255	 191.998657	138.539	 191.999786	102.405	 192.124786
126.667	 383.999554	129.561	 383.999146	139.076	 383.999420	102.407	 384.124420
