WorkLoad	ThreadInsert 	ThreadSearch 	WarpInsert	WarpSearch	Sub_WarpInsert 	Sub_WarpSearch	LevelInsert 	LevelSearch
32768	3195.3	1644.74	1260.59	837.353	2828.05	775.05	1964.17	821.504
65536	5247.69	3175.81	1471.97	1018.91	4180.6	1542.45	2564.63	1514.05
131072	7014.59	5024.12	1602.56	1002.55	5204	2083.33	2796.42	1990.45
262144	1197.38	3933.29	1700.56	1119.37	2595.51	2167.88	2335.58	2133.03
524288	601.329	2322.32	1760.87	1108.21	1812.44	2368.77	1828.15	2316.1
1048576	462.335	1359.62	1514.05	1138.56	1486.54	2496.75	1485.7	2465.73
2097152	447.415	1156.31	1367.22	1145.83	1323.82	2509.79	1319.09	2506.89
4194304	425.22	1063.1	1297.19	1139.15	1254.91	2494.82	1251.35	2502.87
8388608	412.603	1019.58	1243.63	1137.55	1217.1	2456.85	1198.53	2457.6
16777216	402.776	1000.01	1202.17	1129.86	1185.57	2443.2	1165.01	2443.77
33554432	398.726	989.714	1186.4	1126.78	1158.42	2423.22	1151.46	2424.81
67108864	396.774	984.575	1178.13	1127.32	1149.5	2419.68	1145.95	2416.29
134217728	395.63	981.663	1175.23	1126.48	1145.53	2417.23	1142.08	2414.45
