WorkLoad	m1_insert	m1_search	m2_insert	m2_search	m3_insert	m3_search
32768	3872.37	1787.76	4257.49	2128.75	3985.97	2061.35
65536	7030.37	3654.97	7405.21	4111.84	6463.96	3515.19
131072	11542	6483.4	11489	7030.37	6237.84	5809.09
262144	18037.5	10831.9	6162.19	9984.03	1443.57	4136.47
524288	7561.89	9290.23	1307.97	4181.93	653.626	2222.14
1048576	2407.6	6413.55	852.73	2383.89	507.695	1405.47
2097152	1563.92	4292.93	713.929	1821.22	453.327	1151.19
4194304	1314.03	3421.24	658.695	1634.36	424.753	1076.11
8388608	1298.31	3122.59	627.786	1543.13	412.809	1033.05
16777216	1249.53	2957.47	615.582	1506.21	406.536	1009.65
33554432	1218.23	2862.8	605.08	1480.35	402.156	1000.86
67108864	1199.25	2822.95	597.148	1469.39	397.384	992.512
134217728	1189.56	2789.49	594.891	1464.48	396.551	992.341
