Work Load	m1_insert	m1_search	m2_insert	m2_search	m3_insert	m3_search
32768	4508.73	2342.58	4228.69	2206.92	3892.14	2091.7
65536	8400.54	4445.23	7175.66	3975.83	6572.03	3667.84
131072	14450.9	7911.39	11627.9	7275.9	7861.64	4435.77
262144	22182.8	12913.2	15179.1	10460.3	11312.7	9138.09
524288	30506.4	15566.6	5224.66	9064.54	1461.74	4948.73
1048576	9187.71	14056.8	1208.89	4470.27	657.193	2256.91
2097152	2590.76	7170.98	852.738	2450.73	506.785	1407.43
4194304	1695.38	4441.08	707.974	1840.87	450.653	1153.32
8388608	1418.78	3470.97	653.642	1639.44	424.677	1071.84
16777216	1301.37	3113.53	626.793	1548.76	413.163	1030.79
33554432	1247.28	2936.98	612.341	1502.43	406.63	1010.83
67108864	1219.61	2866.06	605.177	1479.95	401.817	997.471
134217728	1205.18	2809.16	601.205	1469.84	400.397	995.148
