WorkLoad	ThreadInsert 	ThreadSearch 	WarpInsert	WarpSearch	Sub_WarpInsert 	Sub_WarpSearch	LevelInsert 	LevelSearch
32768	1823.01	957.18	522.811	5.36122	1403.36	40.0456	888.87	10.1955
65536	2772.85	2054.16	609.251	486.935	1857.69	777.209	1437.84	768.569
131072	1757.79	2132.31	642.274	525.873	2128.53	1109.22	1406.64	1071.82
262144	1026.52	2078.52	668.042	552.665	2111.88	1384.55	1350.92	1363.38
524288	656.134	1790.18	680.019	570.836	1763	1658.79	1328.8	1594.61
1048576	524.637	1429.01	686.627	585.916	1513.11	1861.8	1305.11	1787.34
2097152	473.969	1198.47	691.115	592.315	1386.95	1985.36	1256.43	1879.09
4194304	451.928	1112.11	693.982	598.715	1329.95	2046.57	1220.69	1925.15
8388608	441.546	1080.69	693.81	602.089	1309.11	2084.42	1202.32	1957.43
16777216	434.881	1065.19	693.209	602.103	1276.43	2105.56	1191.14	1982.12
33554432	425.666	1057.38	692.055	601.979	1227.37	2101.59	1146.95	1978.75
67108864	422.541	1053.76	691.65	602.004	1208.53	2099.95	1125.05	1976.36
134217728	421.288	961.45	691.001	593.889	1206.58	1806.76	1040.63	1790.97
